Generated by Ultimate_GMS2_Decompiler_v5.csx
70 - spr_sausagemannocigar_stunland
71 - spr_sausageman_stunland
72 - spr_sausagemannocigar_hitwall
73 - spr_sausageman_hitwall
74 - spr_sausagemannocigar_stomped
75 - spr_sausageman_stomped
76 - spr_sausagemannocigar_stunfall
77 - spr_sausageman_stunfall
78 - spr_player_mortattackup
79 - spr_sausagemannocigar_stunfalltrans
80 - spr_sausageman_stunfalltrans
81 - spr_sausagemannocigar_hitceilling
82 - spr_sausageman_hitceilling
83 - spr_sausagemannocigar_flying
84 - spr_sausageman_flying
85 - spr_sausagemannocigar_hit
86 - spr_sausageman_hit
87 - spr_sausagemannocigar_land
88 - spr_farmer2_walk
89 - spr_sausageman_land
90 - bg_exit2
91 - spr_pipe_exit
92 - spr_sausagemannocigar_fall
93 - spr_sausageman_fall
94 - spr_sausagemannocigar_turn
95 - spr_sausageman_turn
96 - spr_sausagemannocigar_walk
97 - spr_sausageman_walk
98 - spr_heatmeter_palette
99 - spr_sausagemannocigar_idle
100 - spr_sausageman_idle
101 - spr_kingghost_pinball
102 - spr_pizzagoblin_dead
103 - spr_monsters
104 - spr_pizzagoblin_throwbomb
105 - spr_player_ragemove
106 - spr_pizzagoblin_recovery
107 - spr_pizzagoblin_stun
108 - spr_pizzagoblin_stunland
109 - spr_secretportal_idle
110 - spr_tubeleft
111 - spr_monstershroom_introidle
112 - spr_player_ratmounttumble
113 - spr_pizzagoblin_flying
114 - spr_player_ratmountballoon
115 - spr_tv_off
116 - sprite_tile_citydark
117 - spr_pizzagoblin_turn
118 - spr_pizzagoblin_walk
119 - spr_pizzagoblin_idle
120 - spr_pizzagoblin_scared
121 - spr_pizzacar_land
122 - spr_gustavogolf
123 - spr_canongoblin_walk
124 - spr_canongoblin_stun
125 - spr_canongoblin_throwbomb
126 - spr_pizzaball
127 - spr_sirnose_idle
128 - spr_canongoblin_dead
129 - spr_slimemask
130 - spr_monstercheese
131 - spr_newpizzice_gibs
132 - spr_slimerecovery
133 - spr_ratblock2
134 - spr_slimeturn
135 - spr_tv_rocket
136 - spr_player_ungroundedattack
137 - spr_slimefall
138 - spr_slimedead
139 - spr_geromedoor
140 - bg_war1
141 - spr_slimestun
142 - spr_player_backslideland
143 - spr_switchblock_gohappy
144 - spr_slimegrabbed
145 - spr_slimebounce
146 - spr_slimemove
147 - spr_slimehitbox
148 - spr_slimeidle
149 - spr_wall
150 - spr_slime_scared
151 - palette_cheeseslime
152 - spr_cheeseslime_rage
153 - spr_forknight_dead
154 - spr_forknight_mask
155 - spr_player_Sjumpcancelland
156 - spr_playerN_firemouthintro
157 - spr_arenagate_scroll
158 - bg_warterrainreverse
159 - spr_badrat_dead
160 - spr_forknight_stun
161 - spr_forknight_grabbed
162 - spr_forknight_walk
163 - spr_fakepeplimb2_hidden
164 - spr_forknight_idle
165 - spr_forknight_turn
166 - spr_forknight_scared
167 - spr_forkhitbox
168 - palette_forknight
169 - spr_coolpinea_idle
170 - spr_coolpinea
171 - spr_slope3
172 - sprite_tile_space1
173 - spr_farmer2_idle
174 - spr_coolpinea_dead
175 - spr_lonebrick_wait
176 - spr_lonegustavo_hang
177 - spr_coolpineahitbox
178 - spr_badrat_attack2
179 - spr_coolpineastun
180 - spr_coolpinea_grabbed
181 - spr_coolpinea_taunt
182 - spr_coolpinea_parry
183 - spr_coolpinea_scared
184 - spr_pepperman_stun
185 - spr_tv_barrel
186 - spr_pepperman_hurt
187 - spr_pepperman_charge
188 - spr_peppermanlow_stun
189 - spr_peppermanlow_hurt
190 - spr_peppermanlow_charge
191 - spr_peppermanlow
192 - spr_pepperman
193 - spr_peppermanmid_stun
194 - spr_space2var
195 - spr_peppermanmid_hurt
196 - spr_peppermanmid_charge
197 - spr_peppermanmid
198 - spr_boxcrusher_land
199 - spr_meatball_idle
200 - spr_boxcrusher_fall
201 - spr_font_palette
202 - spr_boxcrusher_idle
203 - spr_grabbiehand_hifive
204 - spr_grabbiehand_release
205 - spr_grabbiehand_catch
206 - spr_grabbiehand_fall
207 - spr_grabbiehand_idle
208 - spr_grabbiehand_dropspot
209 - spr_cheeserobot_goop
210 - spr_robot_knife
211 - spr_cheeserobot_dead
212 - spr_monstercheese_chase
213 - spr_robot_dead
214 - spr_cheeserobot_stun
215 - spr_robot_stun
216 - spr_cheeserobot_attack
217 - spr_robot_attack
218 - spr_cheeserobot_walk
219 - spr_hamkuff_idle
220 - spr_robot_walk
221 - spr_cheeserobot_idle
222 - spr_robot_idle
223 - spr_pizzaboy
224 - spr_rampslope
225 - spr_pepgoblinstun
226 - spr_pepgoblin
227 - spr_pepgoblin_kick
228 - spr_pepgoblin_scared
229 - spr_meatball_dead
230 - spr_pepgoblin_dead
231 - palette_pepgoblin
232 - spr_piraneapple_dead
233 - spr_piraneapple
234 - spr_piraneappleattack
235 - spr_sausageman_scared
236 - spr_piraneapplewater
237 - spr_anchodead
238 - spr_anchobounce
239 - spr_ancho
240 - spr_ancho_chargestart
241 - spr_ancho_charge
242 - spr_ancho_scared
243 - spr_trash
244 - spr_pizzaslug_dead
245 - spr_trash_throw
246 - spr_trash_dead
247 - spr_trash_bump
248 - spr_bigcheese_dead
249 - spr_teeth_stun
250 - spr_bigcheese_mask
251 - spr_bigcheese_stun
252 - spr_bigcheese_walk
253 - spr_bigcheese_idle
254 - spr_pizzaball_stun
255 - spr_pizzaball_walk
256 - spr_policecar_dead
257 - msk_pizzaball_crouch
258 - spr_pizzaball_idle2
259 - spr_monsterpineapple_pose1
260 - spr_peasanto_dead
261 - spr_badlanddebris1
262 - spr_jetpack_collect
263 - spr_tv_happyG
264 - spr_technicaldifficulty1
265 - spr_technicaldifficulty_bg
266 - spr_peasanto_stun
267 - spr_peasanto_attack
268 - spr_peasanto_walk
269 - spr_noisey_dead
270 - spr_peasanto_idle
271 - spr_ninja_attack
272 - spr_ninja_walk
273 - spr_ranch_dead
274 - spr_lonegustavo_jump
275 - spr_ranch_stun
276 - spr_ranch_shoot
277 - spr_heatmeter
278 - spr_ranch_idle
279 - spr_ranchbullet
280 - spr_invtrash_dead
281 - spr_invtrash_throw
282 - spr_playerN_boxxedjump
283 - spr_invtrash_stun
284 - spr_objecticon
285 - spr_invtrash_idle
286 - spr_pizzice_walk
287 - spr_pizzice_stun
288 - spr_totem
289 - spr_pizzice_dead
290 - spr_fencer
291 - spr_fencer_stun
292 - spr_fencer_dead
293 - spr_fencer_chargestart
294 - spr_fencer_charge
295 - spr_fencer_scared
296 - spr_tv_bg
297 - spr_kentukykenny_walk
298 - spr_antigrav
299 - spr_treasurespace
300 - spr_kentukykenny_idle
301 - spr_kentukykenny_stun
302 - spr_kentukykenny_scared
303 - spr_kentukykenny_throw
304 - spr_horsey_start1
305 - spr_kentukykenny_dead
306 - spr_kentukykenny_projectile
307 - spr_tv_exprheat
308 - spr_grandpa
309 - spr_grandpa_dead
310 - spr_grandpa_punch
311 - spr_ufogrounded_walk
312 - spr_indiancheese_walk
313 - spr_indiancheese_stun
314 - spr_indiancheese_dead
315 - spr_indiancheese_jump
316 - spr_indiancheese_land
317 - spr_indiancheese_howl
318 - spr_indiancheese_scared
319 - spr_pizzard_walk
320 - spr_pizzard_shoot
321 - spr_pizzard_stun
322 - spr_lonegustavo_skid
323 - spr_horsey_win
324 - spr_pizzard_scared
325 - spr_pizzard_dead
326 - spr_factorydebris
327 - spr_pizzard_bolt
328 - spr_pepclone_attack
329 - palette_pizzard
330 - spr_swedishmonkey_walk
331 - spr_swedishmonkey_idle
332 - sprite_tile_citydark_1
333 - spr_swedishmonkey_eat
334 - spr_tv_shotgun
335 - spr_swedishmonkey_stun
336 - spr_swedishmonkey_scared
337 - spr_icon_pizzaball
338 - spr_swedishmonkey_dead
339 - spr_tv_squished
340 - spr_minijohn_charge
341 - spr_minijohn_stun
342 - spr_minijohn_dead
343 - spr_weeniesquire_idle
344 - spr_weeniesquire_hitbox
345 - spr_weeniesquire_charge
346 - spr_weeniesquire_stun
347 - spr_weeniesquire_dead
348 - spr_weeniemount
349 - spr_weeniemount_dead
350 - spr_banditochicken_chase
351 - spr_clownmato_bounce
352 - spr_banditochicken_sleep
353 - spr_banditochicken_wake
354 - spr_banditochicken_scared
355 - spr_pizzaball_hitwall
356 - spr_banditochicken_stun
357 - spr_banditochicken_dead
358 - spr_banditochicken_projectile
359 - spr_ufolive
360 - spr_ufolive_stun
361 - spr_ufolive_scared
362 - spr_ufolive_dead
363 - spr_johndestructible_debris
364 - spr_lonegustavo_groundpoundstart
365 - spr_ufolive_laser
366 - spr_tv_tumbleN
367 - spr_ufolive_teleporter
368 - spr_goblinbot
369 - spr_playerN_mortthrow
370 - spr_goblinbot_kick
371 - spr_citydarkprops
372 - spr_canonbot
373 - spr_canonbot_shoot
374 - spr_smallforestblock
375 - spr_spitcheese_spit
376 - spr_spitcheese_scared
377 - spr_pizzaportal_appear
378 - spr_spitcheese_stun
379 - spr_player_ratmountballoonend2
380 - spr_boxxedpep_dashend
381 - spr_spitcheese_spike
382 - spr_spitcheese_dead
383 - spr_spitcheese_idle
384 - spr_pickle_walk
385 - spr_pickle_stun
386 - spr_pizzaslug_turn
387 - spr_player_pizzacar
388 - spr_pickle_attack
389 - spr_player_pizzacarjump
390 - spr_pickle_scared
391 - spr_player_lungestart
392 - spr_horseplaceholder
393 - spr_pickle_dead
394 - spr_archergoblin_walk
395 - spr_archergoblin_stun
396 - spr_archergoblin_shoot
397 - spr_archergoblin_scared
398 - spr_barreldebris
399 - spr_archergoblin_dead
400 - spr_pizzaslug_smoke
401 - spr_archergoblin_arrow
402 - spr_treasureguy_popout
403 - spr_treasureguy_idle
404 - spr_treasureguy_stun
405 - spr_hamkuff_sausage
406 - spr_treasureguy_escapestart
407 - spr_treasureguy_escape
408 - spr_lonegustavo_ladderdown
409 - spr_treasureguy_chest
410 - spr_treasureguy_dead
411 - spr_placeholder_tank
412 - bg_exit1
413 - spr_tank_walk
414 - spr_tank_shoot
415 - spr_swedishmonkey_palette
416 - spr_tank_chargestart
417 - spr_tank_charge
418 - spr_tank_hitwall
419 - spr_tank_spawnenemy
420 - spr_tank_stunstart
421 - spr_tank_stun
422 - spr_tank_dead
423 - spr_tank_turn
424 - spr_tank_wheel
425 - spr_shrimp_idle
426 - spr_playerN_golfswing
427 - spr_shrimp_walk
428 - spr_cowidle
429 - spr_shrimp_jump
430 - spr_shrimp_fall
431 - spr_player_longjumpend
432 - spr_tombstone2
433 - spr_tv_bubbleclose
434 - spr_gustavoswitch1
435 - spr_pizzascore_pepperoni
436 - spr_lonegustavo_kick
437 - spr_shrimp_land
438 - spr_playerN_ghostend
439 - spr_ghoul_stun
440 - spr_shrimp_punch
441 - spr_corpsesurf
442 - spr_shrimp_stun
443 - spr_shrimp_dead
444 - spr_shrimp_knife
445 - spr_shrimp_throw
446 - spr_shrimp_scared
447 - spr_shrimppalette
448 - spr_player_barrelcrouch
449 - spr_player_barrelmach
450 - spr_player_pistolwalk
451 - spr_player_barrelroll
452 - spr_comboend
453 - spr_player_barrelslipnslide
454 - spr_player_barrelfloat
455 - spr_tv_bubbleopen
456 - spr_player_barreljump
457 - spr_hamkuff_chain1
458 - spr_player_barrelfall
459 - spr_player_barrelmove
460 - spr_player_barrelidle
461 - spr_bombpep_end
462 - spr_bombpep_runabouttoexplode
463 - spr_timer_bar
464 - spr_bombpep_run
465 - spr_player_kungfuair2
466 - spr_bombpep_intro
467 - spr_meteorpep_land
468 - spr_meteorpep_flying
469 - spr_meteorpep_impact
470 - spr_knightpep_charge
471 - spr_knightpep_downslope
472 - spr_swordstone
473 - spr_swordstonetaken
474 - spr_knightpep_attack
475 - spr_player_suplexdashend
476 - spr_knightpep_hitbox
477 - spr_swordhitbox
478 - spr_knightpep_land
479 - spr_knightpep_fall
480 - spr_knightpep_jump
481 - spr_knightpep_jumpstart
482 - spr_knightpep_idle
483 - spr_knightpep_walk
484 - spr_monsterpineapple_dead
485 - spr_knightpep_thunder
486 - spr_knightpep_start
487 - spr_shotgun_shot
488 - spr_shotgun_shotdown
489 - spr_shotgun_pullin
490 - spr_shotgun_idle
491 - spr_heatmeter_fill
492 - spr_tv_idleanim2
493 - spr_player_kungfuair3transition
494 - spr_rocketnerd
495 - bg_freezerfridgeinside
496 - spr_shotgun_shootair
497 - spr_shotgun_duck
498 - spr_shotgun_goduck
499 - spr_player_breakdanceuppercutend
500 - spr_shotgun_land
501 - spr_shotgun_fall
502 - bg_freezerfridge
503 - spr_shotgun_jump
504 - spr_shotgun_walk
505 - spr_shotgun_pullout
506 - spr_spacesector2
507 - spr_mrpinch_hand1
508 - spr_player_shotgunjump1
509 - spr_player_shotgunjump2
510 - spr_monsterpineapple_smile
511 - spr_player_shotgunjump3
512 - spr_player_shotgun
513 - spr_priest_idle
514 - spr_shotgun_suplexdash
515 - spr_shotgun_crawl
516 - spr_shotgun_crouchjump1
517 - spr_shotgun_crouchjump2
518 - spr_boxxeddebris
519 - spr_player_firemouthdash
520 - spr_playerN_cheesedland
521 - spr_pizzaslug_stun
522 - spr_lonegustavo_idle
523 - spr_cheesepep_stickceilling
524 - spr_cheesepep_stickwall
525 - spr_cheesepep_land
526 - spr_cheesepep_fall
527 - spr_cheesepep_jumpstart
528 - spr_cheesepep_jump
529 - spr_cheesepep_walk
530 - spr_cheesepep_idle
531 - spr_cheesepep_intro
532 - spr_cheeseball
533 - spr_kingghost_pinball2
534 - spr_player_cheeseball
535 - spr_peppalette
536 - spr_rankP
537 - spr_player_weeniemount
538 - spr_player_deathend
539 - spr_player_deathstart
540 - spr_player_entergate
541 - spr_player_charge
542 - spr_sweat
543 - spr_player_eatspaghetti
544 - spr_player_3hpwalk
545 - spr_player_3hpidle
546 - spr_player_hurtjump
547 - spr_player_hurtwalk
548 - spr_player_hurtidle
549 - spr_player_catched
550 - spr_tv_fireass
551 - spr_player_phonepanic
552 - spr_playerN_firemouth
553 - spr_player_phoneidle
554 - spr_player_phonestart
555 - spr_player_suplexmash7
556 - spr_player_suplexmash6
557 - spr_player_suplexmash5
558 - spr_player_suplexmash4
559 - spr_monstershroom_see
560 - spr_player_suplexmash3
561 - spr_player_suplexmash2
562 - spr_player_suplexmash1
563 - spr_player_suplexdash
564 - spr_player_slaprun1
565 - spr_player_slaprun2
566 - spr_player_slap2air
567 - spr_player_slap1air
568 - spr_tubedown
569 - spr_player_slap2
570 - spr_player_slap1
571 - spr_player_jumphurt
572 - spr_player_shootslide
573 - spr_player_shootdiagonal
574 - spr_kentukybomber_bomb
575 - spr_player_shootup
576 - spr_player_crouchshoot
577 - spr_player_levelcomplete
578 - spr_player_climbwall
579 - spr_player_upslopes
580 - spr_player_downslopes
581 - spr_player_piledriverland
582 - spr_player_piledriver
583 - spr_player_grabmove
584 - spr_mine
585 - spr_player_facehurtup
586 - spr_player_facehurt
587 - spr_player_mach3jump
588 - spr_player_ratmountbounce
589 - spr_player_bodyslamfall
590 - bg_dungeonsilouhette1
591 - spr_player_superjumpright
592 - spr_player_superjumpleft
593 - spr_player_airdash1
594 - spr_player_airdash2
595 - spr_player_secondjump2
596 - spr_tv_knight
597 - spr_player_secondjump1
598 - spr_player_machslideboost3
599 - spr_player_machslideboost
600 - spr_lonegustavo_jumpstart
601 - spr_player_supersidejumpland
602 - spr_pizzacar_move
603 - spr_player_supersidejump
604 - spr_player_supersidejumpprep
605 - spr_player_handgesture4
606 - spr_ramp
607 - spr_player_handgesture3
608 - spr_player_handgesture2
609 - spr_pepperman_shoulderstart
610 - spr_player_handgesture1
611 - spr_player_hanstandjump
612 - spr_minijohn_undergroundout
613 - spr_player_gottreasure
614 - spr_player_idlevomitblood
615 - spr_player_idlevomit
616 - spr_player_idledance
617 - spr_player_idlefrown
618 - spr_player_grabbingfall
619 - spr_player_grabbingjump
620 - spr_player_grabbingmove
621 - spr_badlanddebris3
622 - spr_player_grabbing
623 - spr_player_running
624 - spr_chainsawpogomask
625 - spr_player_stomp
626 - spr_player_stompprep
627 - spr_player_stunned
628 - spr_player_facestomphit
629 - spr_player_facestomp
630 - spr_player_mach4
631 - spr_player_dead
632 - spr_player_timesup
633 - spr_player_winding
634 - spr_player_machroll
635 - spr_player_pistolair
636 - spr_player_pistol
637 - spr_player_machfreefall
638 - spr_player_machpunch2
639 - spr_player_machpunch1
640 - spr_newpizzice_heat
641 - spr_player_throw
642 - spr_player_slam
643 - bg_ruininterior
644 - spr_player_grind
645 - spr_player_skateboard
646 - spr_robotface
647 - spr_player_shoulder
648 - spr_player_shoulderprep
649 - spr_player_uppunch
650 - spr_player_uppunchprep
651 - spr_player_punch
652 - spr_player_punchprep
653 - spr_player_backkick
654 - spr_player_backkickprep
655 - spr_player_rockethitwall
656 - spr_player_grab
657 - spr_player_mach1
658 - spr_player_panic
659 - spr_cityballoon
660 - spr_player_bossintro
661 - spr_player_smirk
662 - spr_player_idle2
663 - spr_player_climbstairs
664 - spr_groundpoundeffect
665 - spr_player_stairs
666 - spr_player_pizzathrow
667 - spr_player_pizzathrow2
668 - spr_player_pizzathrow3
669 - spr_player_superjumpprep
670 - spr_ufogrounded_stun
671 - spr_player_ratmountspit
672 - spr_player_superjumppreplight
673 - spr_player_superjumpland
674 - spr_spacecow1
675 - spr_player_superjump
676 - spr_player_freefallprep
677 - spr_pepperman_walkfront
678 - spr_golfburger_walk
679 - spr_player_mach2jump
680 - spr_player_mach3
681 - spr_player_hangslide
682 - spr_player_crouchslip
683 - spr_player_keyget
684 - spr_player_hang
685 - spr_player_tackle
686 - spr_player_slipnslide
687 - spr_player_ladderdown
688 - spr_player_laddermove
689 - spr_player_ladder
690 - spr_player_victory
691 - spr_monstershroom_intro
692 - spr_monstercheese_idle
693 - spr_player_walkfront
694 - spr_player_Sjump
695 - spr_player_Sjumpstart
696 - spr_player_Sjumpprep
697 - spr_player_lookdoor
698 - spr_player_freefallland
699 - spr_spaceblock_closed
700 - spr_player_freefall
701 - spr_player_land2
702 - spr_player_land
703 - spr_player_bump
704 - spr_player_couchstart
705 - spr_player_crouchslide
706 - spr_player_crouchslidestart
707 - spr_player_crouchfall
708 - spr_player_crouchjump
709 - spr_player_crouch
710 - spr_player_fall2
711 - spr_player_fall
712 - spr_player_jump2
713 - spr_player_jump
714 - spr_player_hurt
715 - spr_player_idle
716 - spr_player_crawl
717 - spr_player_move
718 - spr_player_machslideend
719 - spr_player_machslide
720 - spr_player_machslidestart
721 - spr_player_machhit
722 - spr_player_mach
723 - spr_ratmount_skid
724 - spr_player_machclimbwall
725 - spr_masknull
726 - spr_crouchmask
727 - spr_player_mask
728 - sprite_tile_space1_1
729 - spr_googlyeyes
730 - spr_googlyeyeshurt
731 - spr_tv_exprcollect
732 - spr_player_crazyrun
733 - spr_player_taunt
734 - spr_exittile
735 - spr_cowboyhat1
736 - spr_player_slapup
737 - spr_player_hitboxslapup
738 - spr_player_slapdash
739 - spr_player_knock
740 - spr_player_givepizza
741 - spr_player_squished
742 - spr_player_firemouthintro
743 - spr_player_firemouth
744 - spr_player_firemouthend
745 - spr_player_firemouthshoot
746 - bg_space3
747 - spr_player_jetpackmid
748 - spr_player_fireass
749 - spr_player_fireassground
750 - spr_player_fireassend
751 - spr_player_haulingidle
752 - spr_rocketnerd_dead
753 - spr_player_haulingwalk
754 - spr_player_haulingjump
755 - spr_hillbilly_dead
756 - spr_totemcloud_attack
757 - spr_captainbombdead
758 - spr_player_haulingfall
759 - bg_war3
760 - spr_pepper_marbleblock
761 - spr_player_haulingland
762 - spr_player_diagonaldownthrow
763 - spr_player_diagonalupthrow
764 - spr_player_downpizzabox
765 - spr_ancho_rage3
766 - spr_player_uppizzabox
767 - spr_player_haulingstart
768 - spr_player_suplexgrabjump
769 - spr_player_Sjumpcancelstart
770 - spr_cloudmiddle
771 - spr_player_suplexgrabjumpstart
772 - spr_player_finishingblow1
773 - spr_player_finishingblow2
774 - spr_player_finishingblow3
775 - spr_player_finishingblow4
776 - spr_player_finishingblow5
777 - spr_player_swingding
778 - spr_playerN_cheesedstick
779 - spr_player_swingdingend
780 - spr_player_swingdinghitbox
781 - spr_player_tumblestart
782 - spr_player_tumble
783 - bg_city3
784 - spr_player_tumbleend
785 - spr_player_dive
786 - bg_city1cloud
787 - spr_spaceglass
788 - spr_player_rollgetup
789 - spr_player_walljumpstart
790 - spr_player_walljumpend
791 - spr_player_mach3hit
792 - spr_player_mach3hitwall
793 - spr_player_uppercutfinishingblow
794 - spr_player_fightball
795 - spr_player_supertaunt1
796 - spr_player_supertaunt2
797 - spr_player_supertaunt3
798 - bg_dungeonsilouhette2
799 - spr_player_supertaunt4
800 - spr_player_faceplant
801 - spr_pizzascore_shroom
802 - spr_tv_idleN
803 - spr_player_ghostidle
804 - spr_knightplatform
805 - spr_playerN_clown
806 - spr_player_ghostjump
807 - spr_player_ghostend
808 - spr_sidespringblock_bounce
809 - spr_sandparticle
810 - spr_player_mortidle
811 - spr_player_mortattack
812 - spr_player_mortdash
813 - spr_player_mortjump
814 - spr_player_mortwalk
815 - spr_player_current
816 - spr_player_scaredjump1
817 - spr_player_clownjump
818 - spr_player_scaredjump2
819 - spr_player_scaredjump3
820 - spr_player_parry1
821 - spr_player_parry2
822 - spr_player_parry3
823 - spr_player_outofpizza1
824 - spr_player_outofpizza2
825 - spr_player_outofpizza3
826 - spr_player_outofpizza4
827 - spr_player_jumpdive2
828 - spr_player_jumpdive1
829 - spr_player_breakdancestart
830 - spr_lonegustavo_groundpoundland
831 - bg_city2
832 - spr_player_breakdance
833 - spr_player_breakdancesuper
834 - spr_woodenwalls
835 - spr_secretportal_close
836 - spr_player_buttattackstart
837 - spr_player_buttattack
838 - spr_player_buttattackend
839 - spr_player_dashpad
840 - spr_player_presentbox
841 - spr_tv_scaredjumpN
842 - spr_chain
843 - spr_playerN_weeniemount
844 - spr_playerN_supertaunt1
845 - spr_chateaucandle
846 - spr_playerN_supertaunt2
847 - spr_playerN_supertaunt3
848 - spr_playerN_supertaunt4
849 - spr_ghoul_attack
850 - spr_playerN_land2
851 - spr_playerN_squished
852 - spr_playerN_slipnslide
853 - spr_playerN_mach3boost
854 - spr_playerN_ragemove
855 - spr_tv_exprmach3
856 - spr_playerN_mach3
857 - spr_playerN_mach3jump
858 - spr_player_ratmountgroundpoundfall
859 - spr_playerN_spin
860 - spr_playerN_machfreefall1
861 - spr_playerN_machfreefall2
862 - sprite_tile_space2
863 - spr_finisherready
864 - spr_playerN_bodyslamstart
865 - spr_playerN_bodyslam
866 - spr_playerN_bodyslamland
867 - spr_playerN_rageidle
868 - spr_playerN_facehurtup
869 - spr_playerN_facehurt
870 - spr_moving_stop
871 - spr_playerN_airdash1
872 - spr_rattumbleblock_big
873 - spr_playerN_airdash2
874 - spr_playerN_tumblestart
875 - spr_playerN_tumble
876 - spr_pizzaslug_walk
877 - spr_playerN_tumbleend
878 - spr_player_backflip
879 - spr_playerN_bombstart
880 - spr_playerN_bomb
881 - spr_pepbat_move
882 - spr_playerN_bombabouttoexplode
883 - spr_waroutsidetile2858
884 - spr_space3props
885 - spr_ratmount_enterdoor
886 - spr_playerN_bombend
887 - spr_playerN_crazyrun
888 - spr_badrat_attack3
889 - spr_playerN_fireass
890 - spr_playerN_fireassground
891 - spr_noisey_heat
892 - spr_playerN_fireassend
893 - spr_playerN_haulingstart
894 - spr_playerN_haulingidle
895 - spr_playerN_haulingmove
896 - spr_technicaldifficulty2
897 - spr_playerN_haulingjump
898 - spr_playerN_haulingfall
899 - spr_bigbutton
900 - bg_deserthub4
901 - spr_playerN_haulingland
902 - spr_playerN_minigunstart
903 - spr_playerN_minigunidle
904 - spr_playerN_minigundash
905 - spr_playerN_slipbanan2
906 - spr_timer_pizzaface2
907 - spr_playerN_minigunjump
908 - spr_playerN_minigunfall
909 - spr_player_airattackstart
910 - spr_playerN_minigunland
911 - spr_playerN_minigungoduck
912 - spr_metaltowerblock
913 - spr_tv_boxxedpepN
914 - spr_playerN_minigunduck
915 - spr_pizzaboy_stun
916 - spr_playerN_miniguncrawl
917 - spr_playerN_minigunmove
918 - spr_playerN_minigunshoot
919 - spr_oktoberfestbg
920 - spr_playerN_minigunslamprep
921 - spr_playerN_minigunslam
922 - spr_playerN_minigunslamland
923 - spr_playerN_winding
924 - spr_playerN_angryidle
925 - spr_ghoul_attackstart
926 - spr_ghost_cartrail
927 - spr_playerN_angrymove
928 - spr_playerN_dashpad
929 - spr_playerN_panicidle
930 - spr_playerN_machroll
931 - spr_cowkick
932 - spr_playerN_rollgetup
933 - spr_counter
934 - spr_playerN_dive
935 - spr_playerN_Sjumpstart
936 - spr_playerN_Sjumpmoveright
937 - spr_playerN_Sjumpmoveleft
938 - spr_playerN_Sjumpprep
939 - spr_playerN_Sjump
940 - spr_boxxedpep_flap
941 - spr_playerN_Sjumpland
942 - spr_playerN_mach3hitwall
943 - spr_playerN_walljumpstart
944 - spr_playerN_walljumpend
945 - spr_playerN_idledance
946 - spr_playerN_idleballoon
947 - spr_playerN_idlemask
948 - spr_playerN_keyget
949 - spr_playerN_stunned
950 - bg_johnentrance
951 - spr_playerN_swingding
952 - spr_playerN_swingdingend
953 - spr_playerN_uppercut
954 - spr_kidspartylight
955 - spr_playerN_finishingblow1
956 - spr_playerN_finishingblow2
957 - spr_playerN_finishingblow3
958 - spr_playerN_finishingblow4
959 - bg_kidsparty1
960 - spr_playerN_finishingblow5
961 - spr_playerN_downpizzabox
